-1 0 0 0 0 0 Me
-2 0 0 90 0 0
-3 0 0 5 0 0
-4 0 0 1 0 0
-5 0 0 0 0 0
-6 0 0 0 0 206
-7 0 0 0 0 9159603
-8 0 0 1 0 0
-11 0 0 0 0 0
-13 0 1 2 0 0 red:vlines3 Broadcast
-13 0 3 4 0 0 blue:gray3 Compute
-13 0 5 6 0 0 green:light_gray Reduce
-13 0 7 8 0 0 yellow:gray Sync
1 0 0 0 0 44199 start broadcast
1 4 0 0 0 44532 start broadcast
1 1 0 0 0 44899 start broadcast
1 2 0 0 0 45635 start broadcast
1 3 0 0 0 45675 start broadcast
2 0 0 0 0 48019 end broadcast
2 4 0 0 0 48171 end broadcast
7 4 0 0 0 48438 Start Sync
7 0 0 0 0 48678 Start Sync
2 1 0 0 0 48999 end broadcast
7 1 0 0 0 49103 Start Sync
2 2 0 0 0 49581 end broadcast
7 2 0 0 0 49733 Start Sync
2 3 0 0 0 49880 end broadcast
7 3 0 0 0 50036 Start Sync
8 0 0 0 0 57526 End Sync
3 0 0 0 0 57696 start compute
8 4 0 0 0 57808 End Sync
3 4 0 0 0 58079 start compute
8 1 0 0 0 58093 End Sync
3 1 0 0 0 58193 start compute
8 3 0 0 0 58852 End Sync
8 2 0 0 0 58971 End Sync
3 3 0 0 0 59007 start compute
3 2 0 0 0 59123 start compute
4 3 0 0 0 705004 end compute
5 3 0 0 0 705173 start reduce
6 3 0 0 0 706757 end reduce
4 1 0 0 0 1096580 end compute
5 1 0 0 0 1096688 start reduce
6 1 0 0 0 1098042 end reduce
4 2 0 0 0 1165836 end compute
5 2 0 0 0 1165991 start reduce
6 2 0 0 0 1169146 end reduce
4 0 0 0 0 1185533 end compute
5 0 0 0 0 1185696 start reduce
4 4 0 0 0 2994229 end compute
5 4 0 0 0 2994538 start reduce
6 4 0 0 0 2997047 end reduce
6 0 0 0 0 2998066 end reduce
1 0 0 0 0 3112422 start broadcast
1 4 0 0 0 3112547 start broadcast
1 1 0 0 0 3112830 start broadcast
1 2 0 0 0 3113258 start broadcast
1 3 0 0 0 3113262 start broadcast
2 0 0 0 0 3116138 end broadcast
2 4 0 0 0 3116161 end broadcast
7 4 0 0 0 3116426 Start Sync
7 0 0 0 0 3116803 Start Sync
2 1 0 0 0 3116876 end broadcast
7 1 0 0 0 3116979 Start Sync
2 2 0 0 0 3117083 end broadcast
7 2 0 0 0 3117233 Start Sync
2 3 0 0 0 3117399 end broadcast
7 3 0 0 0 3117553 Start Sync
8 1 0 0 0 3124963 End Sync
3 1 0 0 0 3125065 start compute
8 3 0 0 0 3125430 End Sync
3 3 0 0 0 3125586 start compute
8 0 0 0 0 3125721 End Sync
8 4 0 0 0 3125834 End Sync
3 0 0 0 0 3125896 start compute
3 4 0 0 0 3126101 start compute
8 2 0 0 0 3126619 End Sync
3 2 0 0 0 3126767 start compute
4 1 0 0 0 4353414 end compute
5 1 0 0 0 4353521 start reduce
6 1 0 0 0 4354899 end reduce
4 3 0 0 0 4419702 end compute
5 3 0 0 0 4419876 start reduce
6 3 0 0 0 4421530 end reduce
4 2 0 0 0 4435763 end compute
5 2 0 0 0 4435914 start reduce
6 2 0 0 0 4439058 end reduce
4 0 0 0 0 5379731 end compute
5 0 0 0 0 5379898 start reduce
4 4 0 0 0 9039135 end compute
5 4 0 0 0 9039441 start reduce
6 4 0 0 0 9042071 end reduce
6 0 0 0 0 9043104 end reduce
1 0 0 0 0 9155370 start broadcast
1 2 0 0 0 9155395 start broadcast
1 1 0 0 0 9155422 start broadcast
1 4 0 0 0 9155563 start broadcast
1 3 0 0 0 9155570 start broadcast
2 4 0 0 0 9158814 end broadcast
2 2 0 0 0 9159081 end broadcast
2 3 0 0 0 9159445 end broadcast
2 1 0 0 0 9159446 end broadcast
2 0 0 0 0 9159603 end broadcast
