-1 0 0 0 0 0 Me
-2 0 0 240 0 0
-3 0 0 6 0 0
-4 0 0 1 0 0
-5 0 0 0 0 0
-6 0 0 0 0 53
-7 0 0 0 0 2790110
-8 0 0 1 0 0
-11 0 0 0 0 0
-13 0 1 2 0 0 red:vlines3 Broadcast
-13 0 3 4 0 0 blue:gray3 Compute
-13 0 5 6 0 0 green:light_gray Reduce
-13 0 7 8 0 0 yellow:gray Sync
1 3 0 0 0 37508 start broadcast
1 5 0 0 0 38444 start broadcast
1 1 0 0 0 38681 start broadcast
1 2 0 0 0 58544 start broadcast
1 0 0 0 0 58684 start broadcast
1 4 0 0 0 58710 start broadcast
2 3 0 0 0 60729 end broadcast
2 4 0 0 0 60769 end broadcast
7 3 0 0 0 60821 Start Sync
2 1 0 0 0 60826 end broadcast
7 4 0 0 0 60827 Start Sync
7 1 0 0 0 60875 Start Sync
2 5 0 0 0 60900 end broadcast
2 0 0 0 0 60902 end broadcast
7 5 0 0 0 60953 Start Sync
7 0 0 0 0 60966 Start Sync
2 2 0 0 0 61088 end broadcast
7 2 0 0 0 61188 Start Sync
8 3 0 0 0 68834 End Sync
3 3 0 0 0 68931 start compute
8 5 0 0 0 69461 End Sync
3 5 0 0 0 69520 start compute
8 1 0 0 0 69659 End Sync
3 1 0 0 0 69709 start compute
8 2 0 0 0 69949 End Sync
8 0 0 0 0 70018 End Sync
3 2 0 0 0 70045 start compute
8 4 0 0 0 70047 End Sync
3 0 0 0 0 70082 start compute
3 4 0 0 0 70106 start compute
4 5 0 0 0 307127 end compute
5 5 0 0 0 307180 start reduce
4 4 0 0 0 307447 end compute
5 4 0 0 0 307504 start reduce
4 0 0 0 0 315188 end compute
5 0 0 0 0 315254 start reduce
6 5 0 0 0 323878 end reduce
1 5 0 0 0 323937 start broadcast
6 4 0 0 0 328246 end reduce
1 4 0 0 0 328308 start broadcast
4 1 0 0 0 475577 end compute
5 1 0 0 0 475625 start reduce
6 1 0 0 0 476733 end reduce
1 1 0 0 0 476785 start broadcast
4 3 0 0 0 600208 end compute
5 3 0 0 0 600297 start reduce
4 2 0 0 0 600472 end compute
5 2 0 0 0 600561 start reduce
6 3 0 0 0 601627 end reduce
1 3 0 0 0 601729 start broadcast
6 2 0 0 0 604340 end reduce
1 2 0 0 0 604442 start broadcast
6 0 0 0 0 604932 end reduce
1 0 0 0 0 604999 start broadcast
2 4 0 0 0 607200 end broadcast
2 0 0 0 0 607253 end broadcast
7 4 0 0 0 607259 Start Sync
2 1 0 0 0 607278 end broadcast
7 0 0 0 0 607315 Start Sync
7 1 0 0 0 607327 Start Sync
2 3 0 0 0 607610 end broadcast
2 2 0 0 0 607612 end broadcast
2 5 0 0 0 607688 end broadcast
7 2 0 0 0 607712 Start Sync
7 5 0 0 0 607744 Start Sync
7 3 0 0 0 607892 Start Sync
8 3 0 0 0 615527 End Sync
3 3 0 0 0 615624 start compute
8 1 0 0 0 616311 End Sync
8 5 0 0 0 616320 End Sync
3 1 0 0 0 616361 start compute
8 4 0 0 0 616371 End Sync
3 5 0 0 0 616378 start compute
8 0 0 0 0 616398 End Sync
3 4 0 0 0 616430 start compute
3 0 0 0 0 616460 start compute
8 2 0 0 0 616550 End Sync
