-1 0 0 0 0 0 Me
-2 0 0 392 0 0
-3 0 0 4 0 0
-4 0 0 1 0 0
-5 0 0 15720 0 0
-6 0 0 0 0 767
-7 0 0 0 0 32311654
-8 0 0 1 0 0
-11 0 0 0 0 0
-13 0 1 2 0 0 red:vlines3 Broadcast
-13 0 3 4 0 0 blue:gray3 Compute
-13 0 5 6 0 0 green:light_gray Reduce
-13 0 7 8 0 0 yellow:gray Sync
1 0 0 0 0 674638 start broadcast
1 2 0 0 0 675463 start broadcast
2 2 0 0 0 678443 end broadcast
7 2 0 0 0 678616 Start Sync
1 1 0 0 0 680407 start broadcast
2 1 0 0 0 682514 end broadcast
7 1 0 0 0 682693 Start Sync
1 3 0 0 0 682774 start broadcast
2 3 0 0 0 683227 end broadcast
7 3 0 0 0 683322 Start Sync
2 0 0 0 0 687328 end broadcast
7 0 0 0 0 687417 Start Sync
8 0 0 0 0 690727 End Sync
3 0 0 0 0 690796 start compute
8 2 0 0 0 692187 End Sync
3 2 0 0 0 692361 start compute
8 1 0 0 0 695886 End Sync
3 1 0 0 0 696068 start compute
8 3 0 0 0 697417 End Sync
3 3 0 0 0 697533 start compute
4 0 0 0 0 1066382 end compute
5 0 0 0 0 1113059 start reduce
4 3 0 0 0 1493191 end compute
5 3 0 0 0 1498717 start reduce
6 3 0 0 0 1499892 end reduce
7 3 0 0 0 1499997 Start Sync
4 1 0 0 0 2514776 end compute
5 1 0 0 0 2538398 start reduce
6 1 0 0 0 2540179 end reduce
7 1 0 0 0 2540364 Start Sync
4 2 0 0 0 2766067 end compute
5 2 0 0 0 2781240 start reduce
6 0 0 0 0 2784396 end reduce
6 2 0 0 0 2784475 end reduce
7 2 0 0 0 2784653 Start Sync
7 0 0 0 0 2790181 Start Sync
8 0 0 0 0 2792918 End Sync
3 0 0 0 0 2792978 start compute
8 2 0 0 0 2794415 End Sync
3 2 0 0 0 2794593 start compute
8 1 0 0 0 2798850 End Sync
3 1 0 0 0 2799032 start compute
8 3 0 0 0 2800150 End Sync
3 3 0 0 0 2800266 start compute
4 0 0 0 0 3278398 end compute
5 0 0 0 0 3330114 start reduce
4 3 0 0 0 3504389 end compute
5 3 0 0 0 3506057 start reduce
6 3 0 0 0 3507271 end reduce
7 3 0 0 0 3507376 Start Sync
4 1 0 0 0 4618153 end compute
5 1 0 0 0 4620615 start reduce
6 1 0 0 0 4622293 end reduce
7 1 0 0 0 4622473 Start Sync
4 2 0 0 0 4682004 end compute
5 2 0 0 0 4684731 start reduce
6 2 0 0 0 4687823 end reduce
7 2 0 0 0 4687998 Start Sync
6 0 0 0 0 4707698 end reduce
7 0 0 0 0 4709563 Start Sync
8 0 0 0 0 4712296 End Sync
3 0 0 0 0 4712357 start compute
8 2 0 0 0 4713540 End Sync
3 2 0 0 0 4713714 start compute
8 1 0 0 0 4718906 End Sync
3 1 0 0 0 4719105 start compute
8 3 0 0 0 4720095 End Sync
3 3 0 0 0 4720211 start compute
4 0 0 0 0 5137179 end compute
5 0 0 0 0 5193902 start reduce
4 3 0 0 0 5490829 end compute
5 3 0 0 0 5492551 start reduce
6 3 0 0 0 5493719 end reduce
7 3 0 0 0 5493821 Start Sync
4 2 0 0 0 6565872 end compute
